CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
59374	401.72400	3531028207112	0.51299	0.47636	401.56995	0.14755	1090	0	0.53473	0.40973	1	0.51637	0.41108	1	0.52555	0.41040	1	0.35043	0.27575	14.23712	1.07669	1	0.58938	0.26874	12.59287	1.07669	1	-0.04150	0.04835	0.72432	0.00312	1	0.02459	0.04952	0.71921	0.00309	1	0.50000	0.50000	0	
59375	401.73087	3531028275729	0.50285	0.49424	401.56995	0.14755	1090	0	0.50293	0.48232	1	0.48247	0.54191	1	0.49270	0.51211	1	0.35051	0.27569	14.29442	1.07669	1	0.58950	0.26891	12.80769	1.07669	1	-0.04150	0.04835	0.72432	0.00309	1	0.02459	0.04952	0.71921	0.00312	1	0.50000	0.50000	0	
59376	401.73764	3531028343520	0.49994	0.48574	401.56995	0.14755	1090	0	0.50914	0.43884	1	0.47913	0.49863	1	0.49414	0.46874	1	0.35070	0.27568	13.92537	1.07669	1	0.58958	0.26891	12.54984	1.07669	1	-0.04150	0.04835	0.72432	0.00316	1	0.02459	0.04952	0.71921	0.00317	1	0.50000	0.50000	0	
59377	401.74438	3531028410967	0.49849	0.48149	401.72400	0.02039	1091	1	0.50914	0.43884	1	0.47913	0.49863	1	0.49414	0.46874	1	0.35079	0.27578	14.06974	1.07669	1	0.58971	0.26888	12.85871	1.07669	1	-0.04178	0.04880	0.73112	0.00313	1	0.02483	0.04978	0.72307	0.00318	1	0.50000	0.50000	0	
59378	401.75079	3531028475072	0.50140	0.47770	401.72400	0.02679	1091	1	0.50663	0.44240	1	0.51939	0.48266	1	0.51301	0.46253	1	0.35086	0.27573	14.19546	1.07669	1	0.58980	0.26884	13.09255	1.07669	1	-0.04178	0.04880	0.73112	0.00315	1	0.02483	0.04978	0.72307	0.00320	1	0.50000	0.50000	0	
59379	401.75815	3531028548634	0.50415	0.47870	401.72400	0.03415	1091	1	0.51399	0.45805	1	0.52181	0.50939	1	0.51790	0.48372	1	0.35081	0.27578	14.04440	1.07669	1	0.58962	0.26909	13.37678	1.07669	1	-0.04178	0.04880	0.73112	0.00315	1	0.02483	0.04978	0.72307	0.00312	1	0.50000	0.50000	0	START_EXP
59380	401.76443	3531028611352	0.50611	0.47942	401.72400	0.04044	1091	1	0.51399	0.45805	1	0.52181	0.50939	1	0.51790	0.48372	1	0.35069	0.27576	14.23344	1.07669	1	0.58977	0.26897	13.07065	1.07669	1	-0.04150	0.04835	0.72432	0.00315	1	0.02483	0.04978	0.72307	0.00313	1	0.50000	0.50000	0	
59381	401.77081	3531028675206	0.50356	0.48200	401.72400	0.04681	1091	1	0.49444	0.51565	1	0.47701	0.48461	1	0.48573	0.50013	1	0.35054	0.27577	14.61045	1.07669	1	0.58953	0.26900	12.82085	1.07669	1	-0.04150	0.04835	0.72432	0.00317	1	0.02483	0.04978	0.72307	0.00316	1	0.50000	0.50000	0	
59382	401.77771	3531028744247	0.50158	0.47912	401.72400	0.05371	1091	1	0.48786	0.50892	1	0.48363	0.40322	1	0.48574	0.45607	1	0.35054	0.27570	14.42749	1.07669	1	0.58964	0.26899	13.36301	1.07669	1	-0.04150	0.04835	0.72432	0.00309	1	0.02483	0.04978	0.72307	0.00313	1	0.50000	0.50000	0	
59383	401.78421	3531028809139	0.50000	0.47682	401.72400	0.06021	1091	1	0.48786	0.50892	1	0.48363	0.40322	1	0.48574	0.45607	1	0.35047	0.27577	14.50551	1.07669	1	0.58946	0.26889	12.68949	1.07669	1	-0.04150	0.04835	0.72432	0.00309	1	0.02459	0.04952	0.71921	0.00313	1	0.50000	0.50000	0	
