"acc","accuracy","audio_file","average_response_time","avg_rt","background","canvas_backend","clean_roi_val","clicked","clock_backend","cohort","color_backend","compensation","condition","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions","correct_new_mouse_response","correct_next_trial_screen","correct_trial_response","correct_welcome","count_end_text","count_experiment","count_fixate_prompt_1","count_fixate_prompt_2","count_fixation","count_getting_started","count_grid_stimulus","count_ignore","count_ignore_1","count_instructions","count_log_audio_target_end","count_log_audio_target_start","count_log_click_response_end","count_log_final_fixation_end","count_log_final_fixation_start","count_log_fixate_center_audio_onset","count_log_gaze_start","count_log_instruction_to_click_onset","count_logger","count_new_inline_script_1","count_new_mouse_response","count_new_pygaze_drift_correct","count_new_pygaze_drift_correct_1","count_new_pygaze_drift_correct_2","count_new_pygaze_log","count_new_pygaze_log_1","count_new_pygaze_start_recording","count_new_repeat_cycle","count_new_sampler","count_new_sampler_1","count_new_sampler_1_1","count_next_trial_screen","count_pygaze_init","count_pygaze_log_trial_start","count_pygaze_start_recording","count_pygaze_stop_recording","count_randomize_positions","count_record_clicked_object","count_set_position_variables","count_trial_loop","count_trial_response","count_trial_sequence","count_wait_for_centre_gaze","count_wait_for_centre_gaze_at_end","count_welcome","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","distractor","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","img_bottom","img_left","img_right","img_top","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","referant","repeat_cycle","response","response_end_text","response_instructions","response_new_mouse_response","response_next_trial_screen","response_time","response_time_end_text","response_time_instructions","response_time_new_mouse_response","response_time_next_trial_screen","response_time_trial_response","response_time_welcome","response_trial_response","response_welcome","rhyme","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_end_text","time_experiment","time_fixate_prompt_1","time_fixate_prompt_2","time_fixation","time_getting_started","time_grid_stimulus","time_ignore","time_ignore_1","time_instructions","time_log_audio_target_end","time_log_audio_target_start","time_log_click_response_end","time_log_final_fixation_end","time_log_final_fixation_start","time_log_fixate_center_audio_onset","time_log_gaze_start","time_log_instruction_to_click_onset","time_logger","time_new_inline_script_1","time_new_mouse_response","time_new_pygaze_drift_correct","time_new_pygaze_drift_correct_1","time_new_pygaze_drift_correct_2","time_new_pygaze_log","time_new_pygaze_log_1","time_new_pygaze_start_recording","time_new_repeat_cycle","time_new_sampler","time_new_sampler_1","time_new_sampler_1_1","time_next_trial_screen","time_pygaze_init","time_pygaze_log_trial_start","time_pygaze_start_recording","time_pygaze_stop_recording","time_randomize_positions","time_record_clicked_object","time_set_position_variables","time_trial_loop","time_trial_response","time_trial_sequence","time_wait_for_centre_gaze","time_wait_for_centre_gaze_at_end","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","candy.wav","1042","1042","white","legacy","img_left","candy.png","legacy","padlock","legacy","0","12","uniform","NA","NA","NA","undefined","undefined","NA","undefined","undefined","undefined","0","0","0","0","NA","NA","0","NA","NA","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","undefined","-408","16","Tue Jun 27 15:58:39 2023","The main experiment item","yes","candy","VWP.osexp","C:/Users/yarbus/Downloads","no","mono","no","18","no","black","no","yes","1080","padlock.png","candy.png","pickle.png","saddle.png","legacy","0","0","C:/Users/yarbus/Desktop/TeamPegasus/recordings/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.14","saddle","0","1","NA","1","NA","1","2621","NA","988","NA","2621","1042","765","1","1","pickle","2","legacy","1024","2","48000","-16","experiment","0","even","candy","NA","1452","11243","18478","NA","NA","8194","NA","NA","2227","16522","15771","17633","20598","20251","11194","13682","14834","23271","NA","NA","NA","NA","NA","NA","NA","NA","NA","15807","14881","NA","20650","3216","8132","5881","NA","8132","17678","3216","7732","16565","8132","13729","20297","1458","Visual World Paradigm","0","1042","1","yes","1920"
"undefined","undefined","candle.wav","856.5","856.5","white","legacy","img_bottom","candle.png","legacy","beetle","legacy","0","10","uniform","NA","NA","NA","undefined","undefined","NA","undefined","undefined","undefined","0","0","1","1","NA","NA","1","NA","NA","0","1","1","1","1","1","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","1","0","1","0","0","1","1","0","0","1","1","1","1","0","undefined","48","378","Tue Jun 27 15:58:39 2023","The main experiment item","yes","candle","VWP.osexp","C:/Users/yarbus/Downloads","no","mono","no","18","no","black","no","yes","1080","candle.png","dollar.png","beetle.png","collar.png","legacy","1","1","C:/Users/yarbus/Desktop/TeamPegasus/recordings/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.14","dollar","0","1","NA","1","NA","1","450","NA","988","NA","450","671","765","1","1","collar","2","legacy","1024","2","48000","-16","experiment","0","even","candle","NA","1452","26795","33606","NA","NA","23741","NA","NA","2227","32093","31283","32786","35926","35382","26741","29233","30357","36400","NA","NA","NA","NA","NA","NA","NA","NA","NA","31302","30376","NA","35949","3216","23697","5881","NA","23697","32806","3216","7732","32112","23697","29251","35424","1458","Visual World Paradigm","0","1713","2","yes","1920"
"undefined","undefined","pickle.wav","977","977","white","legacy","img_bottom","pickle.png","legacy","paddle","legacy","0","9","uniform","NA","NA","NA","undefined","undefined","NA","undefined","undefined","undefined","0","0","2","2","NA","NA","2","NA","NA","0","2","2","2","2","2","2","2","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","2","0","2","0","0","2","2","0","0","2","2","2","2","0","undefined","-73","430","Tue Jun 27 15:58:39 2023","The main experiment item","yes","beaker","VWP.osexp","C:/Users/yarbus/Downloads","no","mono","no","18","no","black","no","yes","1080","pickle.png","beaker.png","paddle.png","nickel.png","legacy","2","2","C:/Users/yarbus/Desktop/TeamPegasus/recordings/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.14","nickel","0","1","NA","1","NA","1","1858","NA","988","NA","1858","1218","765","1","1","pickle","2","legacy","1024","2","48000","-16","experiment","0","even","pickle","NA","1452","39948","47214","NA","NA","36890","NA","NA","2227","45152","44442","46394","49340","48993","39890","42401","43526","51223","NA","NA","NA","NA","NA","NA","NA","NA","NA","44461","43544","NA","49365","3216","36846","5881","NA","36846","46414","3216","7732","45173","36846","42421","49039","1458","Visual World Paradigm","0","2931","3","yes","1920"
"undefined","undefined","casket.wav","1043","1043","white","legacy","img_bottom","casket.png","legacy","casket","legacy","0","6","uniform","NA","NA","NA","undefined","undefined","NA","undefined","undefined","undefined","0","0","3","3","NA","NA","3","NA","NA","0","3","3","3","3","3","3","3","3","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","3","NA","3","0","3","0","0","3","3","0","0","3","3","3","3","0","undefined","128","476","Tue Jun 27 15:58:39 2023","The main experiment item","yes","handle","VWP.osexp","C:/Users/yarbus/Downloads","no","mono","no","18","no","black","no","yes","1080","casket.png","castle.png","dolphin.png","handle.png","legacy","3","3","C:/Users/yarbus/Desktop/TeamPegasus/recordings/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.14","castle","0","1","NA","1","NA","1","1181","NA","988","NA","1181","1241","765","1","1","dolphin","2","legacy","1024","2","48000","-16","experiment","0","even","casket","NA","1452","54744","62083","NA","NA","51699","NA","NA","2227","60002","59231","61265","64201","63862","54699","57182","58307","65407","NA","NA","NA","NA","NA","NA","NA","NA","NA","59250","58325","NA","64225","3216","51653","5881","NA","51653","61283","3216","7732","60022","51652","57202","63900","1458","Visual World Paradigm","0","4172","4","yes","1920"
"undefined","undefined","picture.wav","985","985","white","legacy","img_top","picture.png","legacy","picture","legacy","0","2","uniform","NA","NA","NA","undefined","undefined","NA","undefined","undefined","undefined","0","0","4","4","NA","NA","4","NA","NA","0","4","4","4","4","4","4","4","4","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","NA","4","0","4","0","0","4","4","0","0","4","4","4","4","0","undefined","-16","-336","Tue Jun 27 15:58:39 2023","The main experiment item","yes","speaker","VWP.osexp","C:/Users/yarbus/Downloads","no","mono","no","18","no","black","no","yes","1080","pickle.png","nickel.png","speaker.png","picture.png","legacy","4","4","C:/Users/yarbus/Desktop/TeamPegasus/recordings/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.14","pickle","0","1","NA","1","NA","1","1046","NA","988","NA","1046","753","765","1","1","nickel","2","legacy","1024","2","48000","-16","experiment","0","even","picture","NA","1452","68952","76037","NA","NA","65898","NA","NA","2227","74442","73653","75218","78162","77811","68898","71392","72718","79231","NA","NA","NA","NA","NA","NA","NA","NA","NA","73672","72737","NA","78184","3216","65853","5881","NA","65853","75237","3216","7732","74462","65853","71412","77861","1458","Visual World Paradigm","0","4925","5","yes","1920"
"undefined","undefined","candy.wav","947","947","white","legacy","img_bottom","candy.png","legacy","padlock","legacy","0","4","uniform","NA","NA","NA","undefined","undefined","NA","undefined","undefined","undefined","0","0","5","5","NA","NA","5","NA","NA","0","5","5","5","5","5","5","5","5","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","5","NA","5","0","5","0","0","5","5","0","0","5","5","5","5","0","undefined","58","450","Tue Jun 27 15:58:39 2023","The main experiment item","yes","candy","VWP.osexp","C:/Users/yarbus/Downloads","no","mono","no","18","no","black","no","yes","1080","candy.png","paddle.png","saddle.png","padlock.png","legacy","5","5","C:/Users/yarbus/Desktop/TeamPegasus/recordings/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.14","paddle","0","1","NA","1","NA","1","801","NA","988","NA","801","757","765","1","1","saddle","2","legacy","1024","2","48000","-16","experiment","0","even","candy","NA","1452","82777","89582","NA","NA","79725","NA","NA","2227","87982","87261","88762","91703","91383","82725","85212","86337","92527","NA","NA","NA","NA","NA","NA","NA","NA","NA","87279","86356","NA","91726","3216","79675","5881","NA","79675","88781","3216","7732","88002","79675","85232","91402","1458","Visual World Paradigm","0","5682","6","yes","1920"
"undefined","undefined","speaker.wav","928","928","white","legacy","img_top","speaker.png","legacy","beetle","legacy","0","3","uniform","NA","NA","NA","undefined","undefined","NA","undefined","undefined","undefined","0","0","6","6","NA","NA","6","NA","NA","0","6","6","6","6","6","6","6","6","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6","NA","6","0","6","0","0","6","6","0","0","6","6","6","6","0","undefined","42","-338","Tue Jun 27 15:58:39 2023","The main experiment item","yes","dolphin","VWP.osexp","C:/Users/yarbus/Downloads","no","mono","no","18","no","black","no","yes","1080","beaker.png","dolphin.png","beetle.png","speaker.png","legacy","6","6","C:/Users/yarbus/Desktop/TeamPegasus/recordings/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.14","beaker","0","1","NA","1","NA","1","3230","NA","988","NA","3230","814","765","1","1","speaker","2","legacy","1024","2","48000","-16","experiment","0","even","speaker","NA","1452","96054","102995","NA","NA","93008","NA","NA","2227","101342","100552","102176","105115","104772","96008","98501","99625","108367","NA","NA","NA","NA","NA","NA","NA","NA","NA","100570","99644","NA","105137","3216","92961","5881","NA","92961","102195","3216","7732","101360","92961","98520","104814","1458","Visual World Paradigm","0","6496","7","yes","1920"
"undefined","undefined","castle.wav","887.375","887.375","white","legacy","img_right","castle.png","legacy","castle","legacy","0","2","uniform","NA","NA","NA","undefined","undefined","NA","undefined","undefined","undefined","0","0","7","7","NA","NA","7","NA","NA","0","7","7","7","7","7","7","7","7","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","7","NA","7","0","7","0","0","7","7","0","0","7","7","7","7","0","undefined","329","27","Tue Jun 27 15:58:39 2023","The main experiment item","yes","sandal","VWP.osexp","C:/Users/yarbus/Downloads","no","mono","no","18","no","black","no","yes","1080","casket.png","basket.png","castle.png","sandal.png","legacy","7","7","C:/Users/yarbus/Desktop/TeamPegasus/recordings/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.14","casket","0","1","NA","1","NA","1","457","NA","988","NA","457","603","765","1","1","basket","2","legacy","1024","2","48000","-16","experiment","0","even","castle","NA","1452","111904","118677","NA","NA","108832","NA","NA","2227","117233","116403","117859","120799","120452","111832","114353","115477","121279","NA","NA","NA","NA","NA","NA","NA","NA","NA","116422","115497","NA","120822","3216","108793","5881","NA","108793","117877","3216","7732","117252","108793","114372","120498","1458","Visual World Paradigm","0","7099","8","yes","1920"
"undefined","undefined","dollar.wav","865.8888888888889","865.8888888888889","white","legacy","img_right","dollar.png","legacy","basket","legacy","0","8","uniform","NA","NA","NA","undefined","undefined","NA","undefined","undefined","undefined","0","0","8","8","NA","NA","8","NA","NA","0","8","8","8","8","8","8","8","8","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","8","NA","8","0","8","0","0","8","8","0","0","8","8","8","8","0","undefined","519","3","Tue Jun 27 15:58:39 2023","The main experiment item","yes","handle","VWP.osexp","C:/Users/yarbus/Downloads","no","mono","no","18","no","black","no","yes","1080","collar.png","handle.png","dollar.png","basket.png","legacy","8","8","C:/Users/yarbus/Desktop/TeamPegasus/recordings/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.14","dollar","0","1","NA","1","NA","1","987","NA","988","NA","987","694","765","1","1","collar","2","legacy","1024","2","48000","-16","experiment","0","even","dollar","NA","1452","124822","131590","NA","NA","121771","NA","NA","2227","130052","129313","130770","133700","133361","124771","127262","128385","134711","NA","NA","NA","NA","NA","NA","NA","NA","NA","129332","128404","NA","133724","3216","121717","5881","NA","121717","130790","3216","7732","130072","121717","127280","133399","1458","Visual World Paradigm","0","7793","9","yes","1920"
"undefined","undefined","dolphin.wav","844.4","844.4","white","legacy","stim0","none","legacy","castle","legacy","0","7","uniform","NA","NA","NA","undefined","undefined","NA","undefined","undefined","undefined","0","0","9","9","NA","NA","9","NA","NA","0","9","9","9","9","9","9","9","9","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","9","NA","9","0","9","0","0","9","9","0","0","9","9","9","9","0","undefined","6","-302","Tue Jun 27 15:58:39 2023","The main experiment item","yes","dolphin","VWP.osexp","C:/Users/yarbus/Downloads","no","mono","no","18","no","black","no","yes","1080","candle.png","basket.png","castle.png","dolphin.png","legacy","9","9","C:/Users/yarbus/Desktop/TeamPegasus/recordings/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.14","candle","0","1","NA","1","NA","1","672","NA","988","NA","672","651","765","1","1","basket","2","legacy","1024","2","48000","-16","experiment","0","even","dolphin","NA","1452","138266","145525","NA","NA","135201","NA","NA","2227","144032","143151","144706","147656","147311","138201","140703","142229","148351","NA","NA","NA","NA","NA","NA","NA","NA","NA","143171","142248","NA","147679","3216","135148","5881","NA","135148","144725","3216","7732","144052","135147","140722","147355","1458","Visual World Paradigm","0","8444","10","yes","1920"
